timestamp,Frequency 1,Frequency 2,Frequency 3,Frequency 4,Driven Avg Wheel Speed,Non-Driven Avg Wheel Speed,Ignition Compensation,Ignition Cut Percentage,RPM,TPS,Fuel Open Time,Ignition Angle,Driven Wheel Speed #1,Driven Wheel Speed #2,Non-Driven Wheel Speed #1,Non-Driven Wheel Speed #2,Barometer,MAP,Lambda,Pressure Type,Battery Volt,Air Temp,Coolant Temp,Temp Type,Analog Input #1,Analog Input #2,Analog Input #3,Analog Input #4,Analog Input #5,Analog Input #6,Analog Input #7,Analog Input #8
1721153404.0949948,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721153404.0955784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1721153404.104994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043.0,1.9,1.76,5.6,,,,,,,,,,,,,,,,,,,,
1721153404.1055613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043.0,1.9,1.76,5.6,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
1721153404.1149611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043.0,1.9,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.36,0.99,KPA,,,,,,,,,,,,
1721153404.1249614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043.0,1.9,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.36,0.99,KPA,14.2,107.8,196.0,C,,,,,,,,
1721153404.1549706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039.0,2.0,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.36,0.99,KPA,14.2,107.8,196.0,C,,,,,,,,
1721153404.164966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039.0,2.0,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.72,0.99,KPA,14.2,107.8,196.0,C,,,,,,,,
1721153404.1749449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039.0,2.0,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.72,0.99,KPA,14.2,107.8,196.0,C,1.65,2.3,0.01,0.61,,,,
1721153404.1849608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039.0,2.0,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.72,0.99,KPA,14.2,107.8,196.0,C,1.65,2.3,0.01,0.61,0.01,1.05,0.01,0.04
1721153404.1949773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039.0,2.0,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.72,0.99,KPA,14.2,107.8,196.0,C,1.65,2.3,0.01,0.61,0.01,1.05,0.01,0.04
1721153404.1955695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2039.0,2.0,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.72,0.99,KPA,14.2,107.8,196.0,C,1.65,2.3,0.01,0.61,0.01,1.05,0.01,0.04
1721153404.2049646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086.0,1.9,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.72,0.99,KPA,14.2,107.8,196.0,C,1.65,2.3,0.01,0.61,0.01,1.05,0.01,0.04
1721153404.205553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086.0,1.9,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.72,0.99,KPA,14.2,107.8,196.0,C,1.65,2.3,0.01,0.61,0.01,1.05,0.01,0.04
1721153404.214946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086.0,1.9,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.35,0.99,KPA,14.2,107.8,196.0,C,1.65,2.3,0.01,0.61,0.01,1.05,0.01,0.04
1721153404.2549624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123.0,1.9,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.35,0.99,KPA,14.2,107.8,196.0,C,1.65,2.3,0.01,0.61,0.01,1.05,0.01,0.04
1721153404.2649622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2123.0,1.9,1.76,5.6,0.0,0.0,0.0,0.0,14.7,12.68,0.99,KPA,14.2,107.8,196.0,C,1.65,2.3,0.01,0.61,0.01,1.05,0.01,0.04
