timestamp,arbitration_id,extended,remote,error,dlc,data
1721153579.7679982,0xcfff248,1,0,0,8,7QUGCAkACAI=
1721153579.7779903,0xcfff348,1,0,0,8,CQDEAgkAKgA=
1721153579.7880137,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1721153579.7885952,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1721153579.7980025,0xcfff048,1,0,0,8,AAgUALAAVgA=
1721153579.798584,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1721153579.8079786,0xcfff148,1,0,0,8,vgUFBb8DAP8=
1721153579.8479822,0xcfff048,1,0,0,8,6QcTALEAVgA=
1721153579.8579803,0xcfff148,1,0,0,8,vgXrBL8DAP8=
1721153579.8679707,0xcfff248,1,0,0,8,8QUECAkACQI=
1721153579.8779721,0xcfff348,1,0,0,8,CQDCAgkAKgA=
1721153579.8879902,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1721153579.8885772,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1721153579.897967,0xcfff048,1,0,0,8,qAcTALAAVgA=
1721153579.898549,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1721153579.9079778,0xcfff148,1,0,0,8,vgXkBL8DAP8=
1721153579.947977,0xcfff048,1,0,0,8,oAcTALAAYQA=
1721153579.957975,0xcfff148,1,0,0,8,vgXvBL8DAP8=
1721153579.9679782,0xcfff248,1,0,0,8,/AUECAkACQI=
1721153579.9779778,0xcfff348,1,0,0,8,CQDCAgkAKgA=
1721153579.9879909,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1721153579.9885745,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1721153579.9979815,0xcfff048,1,0,0,8,qQcTALAAYQA=
1721153579.998553,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1721153580.0079913,0xcfff148,1,0,0,8,vgX8BL8DAP8=
1721153580.0479908,0xcfff048,1,0,0,8,sgcUALAAYQA=
1721153580.057979,0xcfff148,1,0,0,8,vgX/BL8DAP8=
1721153580.0679698,0xcfff248,1,0,0,8,FQYECAkACgI=
1721153580.0779855,0xcfff348,1,0,0,8,CQDDAgkAKgA=
1721153580.0879943,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1721153580.088573,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1721153580.0979714,0xcfff048,1,0,0,8,9QcTALEAQwA=
1721153580.098544,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1721153580.1079705,0xcfff148,1,0,0,8,vgXoBL8DAP8=
1721153580.1179821,0xcfff548,1,0,0,8,jAU2BHIHAP8=
1721153580.1479692,0xcfff048,1,0,0,8,2gcTALAAQwA=
1721153580.1579742,0xcfff148,1,0,0,8,vgX5BL8DAP8=
1721153580.1679747,0xcfff248,1,0,0,8,8wUECAkACgI=
1721153580.1779773,0xcfff348,1,0,0,8,CQDCAgkAKgA=
1721153580.1879919,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1721153580.1885734,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1721153580.1979666,0xcfff048,1,0,0,8,lQcTALEAQwA=
1721153580.1985404,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1721153580.2079668,0xcfff148,1,0,0,8,vgXoBL8DAP8=
1721153580.247976,0xcfff048,1,0,0,8,+wcUALEAQwA=
1721153580.2579727,0xcfff148,1,0,0,8,vgXwBL8DAP8=
1721153580.267954,0xcfff248,1,0,0,8,HgYDCAkACgI=
1721153580.2779648,0xcfff348,1,0,0,8,CQDEAgkAKgA=
1721153580.2879753,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1721153580.2885573,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1721153580.29796,0xcfff048,1,0,0,8,3QcUALEARgA=
1721153580.298541,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1721153580.3079708,0xcfff148,1,0,0,8,vgX9BL8DAP8=
1721153580.3479745,0xcfff048,1,0,0,8,2wcUALEARgA=
1721153580.3579628,0xcfff148,1,0,0,8,vgX4BL4DAP8=
1721153580.3679671,0xcfff248,1,0,0,8,2AUECAkACgI=
1721153580.37796,0xcfff348,1,0,0,8,CQDCAgkAKgA=
1721153580.3880007,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1721153580.3885589,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1721153580.397963,0xcfff048,1,0,0,8,cQcUALAARgA=
1721153580.3985307,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1721153580.4079897,0xcfff148,1,0,0,8,vgXhBL8DAP8=
1721153580.4479632,0xcfff048,1,0,0,8,xAcTALEARgA=
1721153580.4579515,0xcfff148,1,0,0,8,vgUFBb8DAP8=
1721153580.4679704,0xcfff248,1,0,0,8,/gUCCAkACgI=
1721153580.4779615,0xcfff348,1,0,0,8,CQDFAgkAKgA=
1721153580.4879804,0xcfff448,1,0,0,8,AAAAAAAAAAA=
1721153580.4885483,0xcfffb48,1,0,0,8,AAAAAAAAAAA=
1721153580.4979408,0xcfff048,1,0,0,8,4QcTALEAWgA=
1721153580.4985163,0xcfffc48,1,0,0,8,AAAAAAAAAAA=
1721153580.5079508,0xcfff148,1,0,0,8,vgXzBL8DAP8=
